"filename", "language", "Properties", "Ignore", "JavaScript", "JSON", "Markdown", "HTML", "Pug", "Vue", "CSS", "Stylus", "comment", "blank", "total"
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\1d\b759fe4d7e423d7e41b694a90a2d9d.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\38\36aa0d7680501a09abc8c1d20edd13.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\41\6d178110eab04cf87de2137f43f5a6.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\45\28c8d5b791717322c870fd1d1fa2b2.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\4c\166e39ddd4b79c784b09610f9f2a00.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\54\2097ce917e10b46d7bc2b8fa026d62.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\5b\18a8bea38f25296ca0fef98137ff83.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\87\7aefec4f2d99171bfc41ab341f9bac.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\98\43a89b4cc536414a5d51032f48f6d9.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\a6\3b03935736a1e0b24aed39967b1286.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\d9\701d0f8d68845c81005417f2e32429.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\eb\de3517b05cc72ec0da197e395483a3.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\f1\010b0a7c28e362a646d9013e6c13f8.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\dist\index.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\dist\script.75da7f30.js", "JavaScript", 0, 0, 33739, 0, 0, 0, 0, 0, 0, 0, 260, 3855, 37854
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\index.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\model.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\script.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\utils.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\sssss\Desktop\theEyes\the-eye\src\common\font\font.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\sssss\Desktop\theEyes\the-eye\src\components\detail.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 9, 86
"c:\Users\sssss\Desktop\theEyes\the-eye\src\components\eyeFooter.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\sssss\Desktop\theEyes\the-eye\src\components\eyeHeader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\sssss\Desktop\theEyes\the-eye\src\components\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 12, 8, 223
"c:\Users\sssss\Desktop\theEyes\the-eye\src\main.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 6, 23
"c:\Users\sssss\Desktop\theEyes\the-eye\src\router\index.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\sssss\Desktop\theEyes\the-eye\static\mock\data.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"Total", "-", 8, 4, 68230, 17891, 14, 23, 16, 322, 13, 3, 665, 7887, 95076
